description,claimType
The screen of my laptop has been cracked by accidental damage,ADSPECIFIED
Water damage from dishwasher outlet   ,ESCAPEWATER
My boiler stopped working this morning. I do not have hot water and even after restarting the boiler it goes off after a minute or so. ,BOILER
I use a wheelchair and had iPad on what lap I have . I’m an above knee amputee. It slipped off lap and hit floor and I ran over it with my front wheels. Shattered screen and bent iPad as per pics. ,ADSPECIFIED
"A car has crashed into the front of our property, damage caused to front of house, porch, boundary wall, vehicle and much more. ",IMPACT
Bottle of wine fell over on the worktop and hit the side of the induction hob. Causing it to break the glass into a few chunks.,ADBUILDINGS
" Big Leakage in the roof. We are due to get a new roof after 22nd Aug but there is a big leak on the roof which is filtering through into the bedroom below, can this be fixed in the interim? I think heavy rains have damaged the roof tiles. ",STORM
"There is a leaking pipe underneath the bath which is located above the living room. It has caused a small hole in the ceiling, the light fitting does not work and the carpet is ruined",ESCAPEWATER
Yesterday a plumber came to our house to fix the toilet as it was not working. This morning we woke up to find the toilet was leaking and had also leaked through  to the kitchen ceiling. We have called the plumber this morning to return to try and alleviate the issue but there is clearly damage to the kitchen ceiling.,ESCAPEWATER
"My washing machine has leaked and flooded my kitchen, the flooring has been damaged as a result. ",ESCAPEWATER
"I noticed some marks on my ceiling so I asked my husband to look at our en-suite. He couldn’t find any visible leakage,  my husband and I are 74/76 and I am disabled so cannot move around to see Carol and Ralph Taylor",ESCAPEWATER
"My Wallet, my phone. My mother's purse and bag and other items such as glasses and lipstick etc... Where all taken (all the same bag)",THEFTSPECIFIED
Phone Screen dropped and cracked,ADCONTENTS
Right outside kitchen drain is blocked.,BLOCKEDDRAINS
River burst it's Bank and flooded the house ,FLOOD
our front roof became damaged following the extreme heat in London,OTHER
"Kitchen floor gave way due do damp that was not found on survey, There is clear damp proofing work done and there is no visible faulty plumbing.",OTHER
"Bedroom bay window roof has leaked in during heavy rain causing severe damage to ceiling, roof, walls, carpet, curtains and other posessions",STORM
Our drain is blocked and overflowing,BLOCKEDDRAINS
"Power went off, and couldn't be reset. I called an out of hours electrician.",WIRINGFAULT
There was a severe weather warning in place on this date and my property has sustained damage. I have reported the event to the flood helpline and also to my local environmental health department. I have also appointed a loss assessor.,FLOOD
I dropped my mobile phone on the driveway ouide,ADSPECIFIED
We are not absolutely sure but we think a can of food with oil in it spilled on our wooden floor and it now has oil stains in a few places,ADCONTENTS
water leaking from below stop cock,ESCAPEWATER
"We have found that the kitchen sink has started leaking water quite heavily and appears the pipes are either broken or have come loose, or both. Water is dripping in the cupboard under the sink. As soon as we turn the tap on it leaks and we have to collect the water or dry it up.",ESCAPEWATER
"We have been advised by Essex Suffolk Water that we have a leak to our water suply. The leak is external so no visible dmage to our property or outside where the pipe runs, and due to the metre being fitted inside its not shown up on any bills. ESW cannot advise exactly where the leak is/cause or assist as its our private supply/they have no sight of direction of pipes etc. Our neighbour had a basement leak which resulted in them pumping water out daily and ESW fixed this in May, but I believe its started again, les severe. ESW advised its not possible to tell at this point if our leak is causing/impacting the neighbours leak or is unconnected. I have called your claims line for advice and explained the situation. I spoke with Paul Kiely who advised to log as a claim so you can asses coverage and advise next steps. I undestand you may do own investigations but Ive asked ESW to send me a quote in the meantime. We need to basically find out where leak is, fix it and ascertain if amy liability for any third party damage.",ESCAPEWATER
crack in house was noticed outside and inside the house,SUBSIDENCE
"Toilet cistern leak in the downstairs toilet causing water to flood the bathroom, damaging the boxing in and causing damp to outside wall. There is also a hole at the back of the toilet floor caused by the ingress of water. Tile flooring is also affected due to the amount of water eroding the tile grout, main door blown due to water ingress to bottom of door. Currently drying the water out to see total damage, called an emergency plumber to fix the leak, exisiting pipe work needs to be removed and updated with vales to avoid issues going forward.",ESCAPEWATER
"Movement to garage walls and floor, also office foundation ",SUBSIDENCE
"Burst pipe in screed floor, water is leaking somewhere underfloor",ESCAPEWATER
My front window from the outside was somehow damaged this morning and now is completely cracked up. Must be replaced but the developers claim is not by their fault as it could be damaged by small stone from outside and they don't deal with that. I am due in the next couple days and I need this window to be replaced asap.,ADBUILDINGS
Loss of power need to get emergency electrician,WIRINGFAULT
I have been glossing my skirting boards and doors when my daughter has tan into the paint tub and knocked it over and then the dog has ran through the paint whilst I was trying to stop my daughter from running through it and it’s destroyed my floor ,ADCONTENTS
Rotting of suspended floor joists,OTHER
Water is leaking from the pipe under my bath/ shower downstairs into the kitchen ,ESCAPEWATER
A car reversed back into our gate and then drove off causing damage to the gate  where it has bent police have given a number,IMPACT
Moisture and water damage under the floor,ESCAPEWATER
"I have lost my laptop bag containing my iPad Pro tablet, iPhone 11 and various cables, headphones, connectors and notepads etc",LOSSSPECIFIED
an attempted break-in to my house,BURGLARY
